GEOID,label,ALAND,bldg_area,street_len,nodes_num,poi_num,manufct_poi_num,transport_poi_num,trucking_poi_num,restaurant_poi_num,grocery_poi_num,tree_cover,builtup_cover,barren_cover,ttl_pop,pop_pct_white,pop_pct_black,mmh_income,geoid_o,visitor_flows
4013112514,433,19186536,2775173.855,105710.0665,256,127,2,8,6,8,6,3.952252996,35.59492753,53.35835394,5044,16.8715305,19.7065821,58160,4013112514,4898
4013619200,434,969158,326804.0037,10098.5815,44,10,0,0,0,0,0,2.829526072,90.20034115,1.85290478,6078,50.4113195,9.9868378,40882,4013619200,3313
4013619300,435,1309953,417355.6769,10718.08468,63,34,0,0,0,3,1,0.63407599,91.1627213,2.215536105,4666,56.7509644,3.9434205,57891,4013619300,2728
4013619400,436,1295293,457628.2265,11512.42024,70,32,0,0,0,1,1,0,90.0143371,5.259451165,4884,50.4299754,6.3063063,70146,4013619400,3410
4013619500,437,2588572,735534.0182,19890.76859,156,80,1,0,2,8,1,1.604904083,96.20235638,1.174412164,5561,57.0401007,3.3627046,60076,4013619500,3963
4013813900,438,2572124,681870.2617,9924.535267,77,41,0,0,0,6,2,3.761811376,84.60255202,6.521406921,6104,63.6140236,4.7346003,116944,4013813900,6803
4013814000,439,2482993,497312.4132,6220.840648,53,18,0,0,0,1,1,1.449027626,60.45548382,18.98331383,2736,85.3070175,2.1564327,71736,4013814000,2067
4013814100,440,2561390,514488.1975,9202.731827,92,14,0,0,0,1,1,5.040381931,86.98946614,3.400785879,6160,63.1493507,6.2175325,109274,4013814100,9086
4013814400,441,2540406,796040.0375,25675.53777,130,105,0,0,0,22,2,5.601790514,80.40723924,10.05492456,5533,65.6425086,3.3797217,104767,4013814400,4703
4013814500,442,2587672,530625.0694,13705.58737,121,127,0,0,1,19,4,4.347935898,75.58563906,2.999229672,5232,67.4120795,3.2874618,103447,4013814500,5030
